"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"성동구","40 - 44세","총인구수[명]","명","25715","24526","24025","22986","22344","21994","22018","22071","22162",
"성동구","40 - 44세","남자인구수[명]","명","13220","12618","12282","11709","11293","11224","11161","11200","11243",
"성동구","40 - 44세","여자인구수[명]","명","12495","11908","11743","11277","11051","10770","10857","10871","10919",
"성동구","45 - 49세","총인구수[명]","명","24567","25637","26158","26245","24825","23026","21328","20168","18764",
"성동구","45 - 49세","남자인구수[명]","명","12541","12919","13139","13189","12417","11351","10572","9999","9282",
"성동구","45 - 49세","여자인구수[명]","명","12026","12718","13019","13056","12408","11675","10756","10169","9482",
"성동구","65 - 69세","총인구수[명]","명","13039","12938","13325","13669","14022","14893","15882","16484","17239",
"성동구","65 - 69세","남자인구수[명]","명","6145","6090","6290","6468","6651","7052","7548","7848","8289",
"성동구","65 - 69세","여자인구수[명]","명","6894","6848","7035","7201","7371","7841","8334","8636","8950",
"성동구","70 - 74세","총인구수[명]","명","10654","10734","10870","11106","11280","11533","11156","11172","11350",
"성동구","70 - 74세","남자인구수[명]","명","4869","4863","4908","5007","5070","5225","5119","5134","5246",
"성동구","70 - 74세","여자인구수[명]","명","5785","5871","5962","6099","6210","6308","6037","6038","6104",
"성동구","75 - 79세","총인구수[명]","명","7477","7989","8821","9060","9144","9053","8955","8901","9057",
"성동구","75 - 79세","남자인구수[명]","명","3187","3480","3876","3979","4023","3945","3832","3821","3880",
"성동구","75 - 79세","여자인구수[명]","명","4290","4509","4945","5081","5121","5108","5123","5080","5177",
"성동구","80 - 84세","총인구수[명]","명","3971","4450","4900","5300","5560","5871","6075","6637","6892",
"성동구","80 - 84세","남자인구수[명]","명","1496","1698","1889","2048","2190","2297","2415","2718","2795",
"성동구","80 - 84세","여자인구수[명]","명","2475","2752","3011","3252","3370","3574","3660","3919","4097",
"성동구","85 - 89세","총인구수[명]","명","1818","1944","2094","2235","2454","2649","2927","3127","3425",
"성동구","85 - 89세","남자인구수[명]","명","548","580","630","691","799","888","1004","1055","1181",
"성동구","85 - 89세","여자인구수[명]","명","1270","1364","1464","1544","1655","1761","1923","2072","2244",
"성동구","90 - 94세","총인구수[명]","명","683","678","697","789","868","933","963","963","1036",
"성동구","90 - 94세","남자인구수[명]","명","192","184","189","205","232","256","250","264","282",
"성동구","90 - 94세","여자인구수[명]","명","491","494","508","584","636","677","713","699","754",
